"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"36","A","217","2x",136,14,37,85,366,0.0382513661202186,0.101092896174863,0.23224043715847,0.371584699453552,3.83262534537287,10.2505231161006,25.1504875460071,39.2336360074806
"36","B","217","2x",120,8,45,67,307,0.0260586319218241,0.146579804560261,0.218241042345277,0.390879478827362,2.6082264012791,15.1009731786683,23.3938320237267,41.103031603674
"36","C","217","2x",124,18,41,65,260,0.0692307692307692,0.157692307692308,0.25,0.476923076923077,6.96783506172551,16.325679669263,27.4653072167027,50.7588219476913
"36","D","217","2x",150,8,60,82,317,0.0252365930599369,0.189274447949527,0.258675078864353,0.473186119873817,2.5258056307892,19.91823665894,28.6357337178331,51.0797760075624
"37","A","217","0.5x",159,12,57,90,366,0.0327868852459016,0.155737704918033,0.245901639344262,0.434426229508197,3.28340005152717,16.1089254097628,26.9218075507926,46.3141330120826
"37","B","217","0.5x",145,17,45,83,286,0.0594405594405594,0.157342657342657,0.29020979020979,0.506993006993007,5.97229770705873,16.2868621039844,33.1547609262546,55.4139207372978
"37","C","217","0.5x",89,13,28,48,187,0.0695187165775401,0.149732620320856,0.25668449197861,0.475935828877005,6.99719501812406,15.4466030034849,28.3646847781597,50.8084827997687
"37","D","217","0.5x",154,23,46,85,326,0.0705521472392638,0.141104294478528,0.260736196319018,0.47239263803681,7.10260627759742,14.5040079291764,28.9179979868848,50.5246121936586
"38","A","42","0.5x",95,11,35,49,188,0.0585106382978723,0.186170212765957,0.26063829787234,0.50531914893617,5.87799355902314,19.5568740113988,28.9045535122397,54.3394210826617
"38","B","42","0.5x",29,7,13,9,74,0.0945945945945946,0.175675675675676,0.121621621621622,0.391891891891892,9.57480630640265,18.349229377005,12.4109221578473,40.3349578412549
"38","C","42","0.5x",73,13,25,35,142,0.0915492957746479,0.176056338028169,0.246478873239437,0.514084507042254,9.25934470742236,18.3926698744685,26.9980038913989,54.6500184732898
"38","D","42","0.5x",19,7,5,7,60,0.116666666666667,0.0833333333333333,0.116666666666667,0.316666666666667,11.8855924178769,8.41180591553032,11.8855924178769,32.1829907512841
"39","A","42","1x",92,15,35,42,189,0.0793650793650794,0.185185185185185,0.222222222222222,0.486772486772487,8.00418818990673,19.4426142147002,23.8877861256859,51.3345885302928
"39","B","42","1x",139,19,49,71,229,0.0829694323144105,0.213973799126638,0.310043668122271,0.606986899563319,8.37438075884049,22.8690711924025,36.2573485988213,67.5008005500643
"39","C","42","1x",157,29,62,66,263,0.110266159695817,0.23574144486692,0.250950570342205,0.596958174904943,11.2107785997902,25.5987689974773,27.5922110424993,64.4017586397667
